store,op,throughput,sd
sync_map,get,2190903.273,573767.484
sync_map,put,879361.418,204200.167
sync_map,delete,2445999.716,356998.560
sync_map,goc_empty,908158.964,308544.877
misframe,get,4363320.890,171150.455
misframe,put,1382736.361,321336.285
misframe,delete,2095873.752,88875.423
misframe,goc_empty,727470.585,133323.120
basic,get,4953440.723,340757.378
basic,put,1308124.108,273765.497
basic,delete,1881208.030,377370.431
basic,goc_empty,1200047.013,181172.537
shard,get,4507535.053,333428.700
shard,put,4195617.367,1311658.500
shard,delete,4189043.031,807552.379
shard,goc_empty,4241524.257,1229315.524
