store,workload,concurrency,operations,duration (ns),throughput
basic,50% conflict 50% reads,1,5000,4206546,1188623.636
basic,50% conflict 50% reads,2,10000,6698355,1492903.855
basic,50% conflict 50% reads,3,15000,11251777,1333122.759
basic,50% conflict 50% reads,4,20000,10642889,1879189.006
basic,50% conflict 50% reads,5,25000,15389931,1624438.732
basic,50% conflict 50% reads,6,30000,23498974,1276651.483
basic,50% conflict 50% reads,7,35000,19941805,1755106.922
basic,50% conflict 50% reads,8,40000,24018477,1665384.529
basic,50% conflict 50% reads,9,45000,27419806,1641149.467
basic,50% conflict 50% reads,10,50000,30959917,1614991.410
basic,50% conflict 50% reads,11,55000,39288901,1399886.446
basic,50% conflict 50% reads,12,60000,46229694,1297867.124
basic,50% conflict 50% reads,13,65000,41605920,1562277.676
basic,50% conflict 50% reads,14,70000,51392934,1362054.947
basic,50% conflict 50% reads,15,75000,48507108,1546165.152
misframe,50% conflict 50% reads,1,5000,5201579,961246.575
misframe,50% conflict 50% reads,2,10000,6201627,1612480.080
misframe,50% conflict 50% reads,3,15000,13661114,1098007.088
misframe,50% conflict 50% reads,4,20000,16455017,1215434.782
misframe,50% conflict 50% reads,5,25000,17862481,1399581.615
misframe,50% conflict 50% reads,6,30000,28556429,1050551.524
misframe,50% conflict 50% reads,7,35000,24328047,1438668.710
misframe,50% conflict 50% reads,8,40000,28785560,1389585.612
misframe,50% conflict 50% reads,9,45000,32629810,1379107.019
misframe,50% conflict 50% reads,10,50000,36090632,1385401.065
misframe,50% conflict 50% reads,11,55000,44715285,1230004.460
misframe,50% conflict 50% reads,12,60000,60729798,987982.868
misframe,50% conflict 50% reads,13,65000,46693451,1392058.171
misframe,50% conflict 50% reads,14,70000,56076260,1248300.083
misframe,50% conflict 50% reads,15,75000,55202344,1358637.959
sync map,50% conflict 50% reads,1,5000,3920819,1275243.769
sync map,50% conflict 50% reads,2,10000,6841447,1461679.086
sync map,50% conflict 50% reads,3,15000,10285266,1458396.895
sync map,50% conflict 50% reads,4,20000,15557078,1285588.463
sync map,50% conflict 50% reads,5,25000,23509826,1063385.156
sync map,50% conflict 50% reads,6,30000,20090717,1493226.947
sync map,50% conflict 50% reads,7,35000,21414062,1634440.024
sync map,50% conflict 50% reads,8,40000,24156299,1655882.799
sync map,50% conflict 50% reads,9,45000,29955333,1502236.680
sync map,50% conflict 50% reads,10,50000,34536905,1447726.714
sync map,50% conflict 50% reads,11,55000,35546315,1547277.123
sync map,50% conflict 50% reads,12,60000,47894952,1252741.625
sync map,50% conflict 50% reads,13,65000,47184969,1377557.332
sync map,50% conflict 50% reads,14,70000,47196288,1483167.490
sync map,50% conflict 50% reads,15,75000,50230023,1493130.911
shard,50% conflict 50% reads,1,5000,2991231,1671552.615
shard,50% conflict 50% reads,2,10000,5081395,1967963.522
shard,50% conflict 50% reads,3,15000,8481045,1768649.972
shard,50% conflict 50% reads,4,20000,10180678,1964505.704
shard,50% conflict 50% reads,5,25000,12678080,1971907.418
shard,50% conflict 50% reads,6,30000,25448133,1178868.407
shard,50% conflict 50% reads,7,35000,20853729,1678356.902
shard,50% conflict 50% reads,8,40000,25276244,1582513.604
shard,50% conflict 50% reads,9,45000,28426127,1583050.691
shard,50% conflict 50% reads,10,50000,33251053,1503711.777
shard,50% conflict 50% reads,11,55000,35989016,1528244.062
shard,50% conflict 50% reads,12,60000,40276244,1489711.901
shard,50% conflict 50% reads,13,65000,43853978,1482191.650
shard,50% conflict 50% reads,14,70000,47381997,1477354.363
shard,50% conflict 50% reads,15,75000,51008443,1470344.821
basic,50% conflict 50% reads,1,5000,3682069,1357932.184
basic,50% conflict 50% reads,2,10000,6671384,1498939.351
basic,50% conflict 50% reads,3,15000,7599337,1973856.404
basic,50% conflict 50% reads,4,20000,21202098,943302.875
