store,workload,concurrency,operations,duration (ns),throughput
*store.Basic,*workload.Conflict,1,5000,10565193,473252.121
*store.Basic,*workload.Conflict,2,10000,11669864,856908.015
*store.Basic,*workload.Conflict,3,15000,14406618,1041188.154
*store.Basic,*workload.Conflict,4,20000,14711831,1359450.092
*store.Basic,*workload.Conflict,5,25000,17338555,1441873.328
*store.Basic,*workload.Conflict,6,30000,29739551,1008757.664
*store.Basic,*workload.Conflict,7,35000,22722712,1540309.097
*store.Basic,*workload.Conflict,8,40000,27505326,1454263.803
*store.Basic,*workload.Conflict,9,45000,39881407,1128345.346
*store.Basic,*workload.Conflict,10,50000,41310793,1210337.453
*store.Basic,*workload.Conflict,11,55000,52217258,1053291.615
*store.Basic,*workload.Conflict,12,60000,52158464,1150340.624
*store.Basic,*workload.Conflict,13,65000,77267809,841230.013
*store.Basic,*workload.Conflict,14,70000,68534791,1021379.054
*store.Basic,*workload.Conflict,15,75000,60476015,1240161.079
*store.Basic,*workload.Conflict,16,80000,71787642,1114397.935
*store.Basic,*workload.Conflict,17,85000,81322576,1045220.210
*store.Basic,*workload.Conflict,18,90000,88156607,1020910.435
*store.Basic,*workload.Conflict,19,95000,88999094,1067426.596
*store.Basic,*workload.Conflict,20,100000,109528525,913004.169
*store.Basic,*workload.Conflict,21,105000,95097917,1104125.130
*store.Basic,*workload.Conflict,22,110000,101705114,1081558.200
*store.Basic,*workload.Conflict,23,115000,106633407,1078461.274
*store.Basic,*workload.Conflict,24,120000,119793281,1001725.631
*store.Misframe,*workload.Conflict,1,5000,8379506,596693.886
*store.Misframe,*workload.Conflict,2,10000,17681315,565568.794
*store.Misframe,*workload.Conflict,3,15000,24754479,605950.947
*store.Misframe,*workload.Conflict,4,20000,24674000,810569.831
*store.Misframe,*workload.Conflict,5,25000,35741682,699463.444
*store.Misframe,*workload.Conflict,6,30000,45965594,652662.076
*store.Misframe,*workload.Conflict,7,35000,42888803,816063.810
*store.Misframe,*workload.Conflict,8,40000,53437367,748539.875
*store.Misframe,*workload.Conflict,9,45000,52812767,852066.698
*store.Misframe,*workload.Conflict,10,50000,68830822,726418.755
*store.Misframe,*workload.Conflict,11,55000,71693392,767155.779
*store.Misframe,*workload.Conflict,12,60000,84497503,710080.155
*store.Misframe,*workload.Conflict,13,65000,102212035,635932.941
*store.Misframe,*workload.Conflict,14,70000,91539497,764697.232
*store.Misframe,*workload.Conflict,15,75000,98677837,760049.088
*store.Misframe,*workload.Conflict,16,80000,108888261,734698.114
*store.Misframe,*workload.Conflict,17,85000,110092569,772077.541
*store.Misframe,*workload.Conflict,18,90000,119984542,750096.625
*store.Misframe,*workload.Conflict,19,95000,125034739,759788.846
*store.Misframe,*workload.Conflict,20,100000,141742680,705503.804
*store.Misframe,*workload.Conflict,21,105000,141710688,740946.230
*store.Misframe,*workload.Conflict,22,110000,139922778,786147.914
*store.Misframe,*workload.Conflict,23,115000,149850577,767431.146
*store.Misframe,*workload.Conflict,24,120000,157029487,764187.684
*store.SyncMap,*workload.Conflict,1,5000,7114508,702789.286
*store.SyncMap,*workload.Conflict,2,10000,10214035,979045.010
*store.SyncMap,*workload.Conflict,3,15000,17121424,876095.353
*store.SyncMap,*workload.Conflict,4,20000,17403260,1149209.976
*store.SyncMap,*workload.Conflict,5,25000,31246299,800094.757
*store.SyncMap,*workload.Conflict,6,30000,22327612,1343627.791
*store.SyncMap,*workload.Conflict,7,35000,23484446,1490348.122
*store.SyncMap,*workload.Conflict,8,40000,32075552,1247055.701
*store.SyncMap,*workload.Conflict,9,45000,27154568,1657179.742
*store.SyncMap,*workload.Conflict,10,50000,39292077,1272521.175
*store.SyncMap,*workload.Conflict,11,55000,33981221,1618541.017
*store.SyncMap,*workload.Conflict,12,60000,48889063,1227268.357
*store.SyncMap,*workload.Conflict,13,65000,87253523,744955.593
*store.SyncMap,*workload.Conflict,14,70000,61914362,1130593.900
*store.SyncMap,*workload.Conflict,15,75000,50549412,1483696.784
*store.SyncMap,*workload.Conflict,16,80000,66312525,1206408.593
*store.SyncMap,*workload.Conflict,17,85000,57962241,1466471.940
*store.SyncMap,*workload.Conflict,18,90000,76703852,1173343.941
*store.SyncMap,*workload.Conflict,19,95000,67061200,1416616.464
*store.SyncMap,*workload.Conflict,20,100000,76436102,1308282.309
*store.SyncMap,*workload.Conflict,21,105000,81202887,1293057.475
*store.SyncMap,*workload.Conflict,22,110000,73567859,1495218.177
*store.SyncMap,*workload.Conflict,23,115000,90717155,1267676.439
*store.SyncMap,*workload.Conflict,24,120000,92285617,1300310.968
